№,q1.1.                   первое прилагательное,q1.2.                 второе прилагательное,q1.3. третье прилагательное,"q2. факультет, на который подали заявление",q3. оценка вероятности поступления,q4. источник информации о факультете,q4.7. источник информации о факультете (другое),q6. альтернативные места поступления,"q7. наличие родственников, окончивших факультет","q7.1 родственникb, окончившие факультет",q8. работает ли он по специальности (кодируется только если в q7. ответ 1),q9. планирование работать по специальности,q10.1. фактор,q10.2. фактор,q10.3. фактор,q10.7 другое,q11.1.1 вуз,q11.1.2 факультет,q12.1.,q12.2.,q12.3.,q12.7 другое,q13. подготовка перед поступлением,q13.4 курсы в вузе,q13.6. подготовка перед поступлением (другое),q14.1. математика,q14.2. русский язык,q14.3. обществознание,q14.4. иностранный язык,q14.5. история,q15.1.,q15.2.,q15.3.,q15.4.,q15.5.,q15.6.,q15.7.,q15.8.,q15.9.,q15.10.,q16. вероятность поступления на другие факультеты,q17.1. название компании (организации),q17.2. направление (профиль деятельности),q17.3. функциональные обязанности,q18. возможность договорного обучения,q19. образовательный кредит,q20. возраст респондента,q21. пол респондента,q22. место жительства респондента,q22.2 ,q22.3,q23.1. образование (отец),q23.2. образование (мать),q23.8.1 образование (отец),q23.8.2 образование (мать),q23.8. образование родителей (другое),q24. материальное положение семьи,q25. количество иностранных языков,q25.1 иностранный язык,q25.2 иностранный язык,q25.3 иностранный язык,q26. социальный слой семьи
11,фундаментальный, академический, творческий,Факультет искусств,5,3,  -,философский,2,  -,4,2,1,2,4, -,МГУ,соц.фак,1,5,6, -,2.5, -, -,63,57,72,72,72,3,2,3,2,4,2,4,1,4,5,5,З.О.,З.О.,З.О.,3,3,18,2,1,-,-,4,2,-,-,-,4,1,англ.яз.,-,-,3
12,востребованный, интересный, увлекательный,Факультет глобальных процессов,7,2,  -,"физико-химический, философский",2,  -,4,5,1,3,4, -,МГУ,гео. Фак,5, -, -, -,1, -, -,87,73,43,43,43,4,2,4,1,2,1,1,1,4,2,7,З.О.,творческое,творить,2,2,17,1,1,-,-,4,4,-,-,-,6,2,англ.яз.,франц.яз.,-,3
13,хороший, полезный, незнакомый,Экономический факультет,6,6,  -,"физико-химический, экономический",2,  -,4,5,1,3,6, -,МГУ,физ-хим,1, -, -, -,4,"мгу,маи", -,68,64,63,63,63,5,5,1,1,3,2,3,2,1,5,7,Apple,TT-специалист,изменить мир,2,3,17,1,2,Павловская-Слобода,-,4,4,-,-,-,7,1,немецкий,-,-,2
14,Успешный, целеустремленный, умный,Экономический факультет,5,3,  -,жур. Фак.,2,  -,4,1,1,2,6, -,РУДН,журналистика,2,4,5, -,7, -, -,66,87,75,75,75,3,3,4,1,1,3,1,1,5,5,6,наше радио,З.О.,З.О.,3,2,17,2,1,-,-,1,1,-,-,-,4,1,англ.яз.,-,-,3
15,современный, актуальный, красивый,Юридический факультет,6, -,  -,юридический фак,2,  -,4,2,1,2,5, -, -, -,1, -, -, -,1, -, -,59,61,59,59,59,4,1,4,2,2,2,1,1,1,2,4,З.О.,нотариус,З.О.,1,2,16,2,1,-,-,4,4,-,-,-,6,1,англ.яз.,-,-,3
16,Интересный, познавательный, престижный,Факультет государственного управления,5,3,  -, -,2,  -,4,2,1,3,6, -,МГУ,соц.фак,1,2,7, -,4,мгу, -,53,61,57,57,57,2,2,1,1,3,2,4,1,5,2,1,РАН,социология,изучение общества,3,3,18,2,1,-,-,2,2,-,-,-,4,2,англ.яз.,франц.яз.,-,3
17,отличный, интересный,,Экономический факультет,10,2,  -,исторический,2,  -,4,2,1,3,4, -,РУДН,политология,2,3, -, -,"1,2,5", -, -,44,70,77,77,77,3,2,1,1,2,1,1,3,1,3,6,З.О.,З.О.,З.О.,1,3,18,2,1,-,-,4,4,-,-,-,6,2,англ.яз.,немецкий,-,3
18,Большой, фунадаментальный,черный,Физический факультет,4,3,  -,экономический ,2,  -,4,4,1,3,5, -,МГУ,соц.фак,1, -, -, -,1.2, -, -,61,53,50,50,50,2,2,1,2,3,3,4,2,4,2,5,З.О.,З.О.,З.О.,2,2,18,2,2,Черноголовка,-,4,4,-,-,-,4,2,англ.яз.,немецкий,-,33
19,умный,интересный,многообразный,Исторический факультет,10,3,  -, исторический,2,  -,4,4,1,3,6, -,МГУ,ист. Фак,1,2,5, -,4,рггу, -,63,98,77,77,77,2,3,2,2,2,1,4,2,4,3,4,З.О.,З.О.,З.О.,2,2,17,2,1,-,-,4,4,-,-,-,4,1,англ.яз.,-,-,2
20,Далекий, классный, красивый,Факультет государственного управления,9,3,  -, -,2,  -,4,2,1,2,5, -,мгпу им. Ленина,филология,2,3,5, -,"2,3,5", -, -,24,70,79,79,79,4,1,4,1,1,2,2,1,4,4,5,МГУ,филология,преподаватель,2,3,17,1,1,-,-,2,-,-,-,-,5,1,англ.яз.,-,-,
21,Интересный, интеллектуальный, красивый,Экономический факультет,5,3,  -, -,2,  -,  -,3,1,4,  -, -,МГИМО, -,1,6, -, -,3, -, -,57,61,79,79,79,1,2,1,4,5,2,4,1,3,2,8,З.О.,З.О.,З.О.,2,2,17,2,1,-,-,2,2,-,-,-,5,2,французский,английский,-,2
22,серьезный, интересный, сложный,Филологический факультет,8,2,  -,ИСАА,2,  -,  -,4,1,2,6, -,МГУ,ФГУ,1,4,5, -,1, -, -,66,91,63,95,87,3,4,3,2,3,4,2,5,2,3,8,З.О.,З.О.,З.О.,1,1,18,2,1,-,-,4,4,-,-,-,7,2,французский,английский,-,3
23,Суперский, образовательный, изучающий,Экономический факультет,5,3,  -,ИСАА,2,  -,  -,2,1,3,  -,"статус вуза,перспективы, возможность получить высокооплачиваемую профессию",МГГУ,лингвистика,1,2,3, -,1, -, -,68,84,55,89,50,5,2,3,2,1,2,2,1,3,4,7,З.О.,гид-переводчик,проводить экскурсии,3,3,18,2,2,Юбилейный,-,3,3,-,-,-,4,2,французский,английский,-,3
24,престижный, интересный, сложный,Юридический факультет,7,5,  -,не буду поступать,1,отец,1,2,1,2,5, -,нет других, -,3,4,7, -,1, -, -,60,87,65,87,61,2,2,3,1,1,3,3,3,4,4,8,З.О.,З.О.,З.О.,2,2,18,2,1,-,-,,4,кандидат докторских наук,-,-,6,2,французский,английский,-,2
25,значимый, профессиональный, многопрофильный,Юридический факультет,8,3,  -,не буду поступать,2,  -,  -,2,3,2,6, -,МГИМО,МБДА,2,3,4, -,1, -, -,68,82,72,73,56,2,2,3,1,1,3,3,3,4,4,8,собственный бизнес,З.О.,"управление персоналом, развитие и установление стратегий",1,2,18,1,2,Чайковский,-,4,4,-,-,-,5,1,английский,-,-,3
26,,,,Исторический факультет,9,3,  -,не буду поступать,2,  -,  -,2,1,4,  -,сама хотела,МГУП,жур фак,2,4,5, -,1, -, -,66,98,63,95,65,2,3,2,5,2,1,3,2,4,4,6,З.О.,главный редактор,З.О.,2,2,17,2,1,-,-,1,1,-,-,-,5,1,английский,-,-,3
27,женский, познавательный, интересный,Филологический факультет,8,4,  -,высшая школа перевода,2,  -,  -,2,1,3,5, -,ВШЭ,востоковедение и африканистика,2,3,5, -,1, -, -,32,68,66,83,77,5,3,2,2,1,4,3,1,1,3,8,МИД,дипломатия,З.О.,1,2,18,2,1,-,-,4,4,-,-,-,7,2,английский,французский,-,2
28,Право, учиться, закон,Юридический факультет,7,1,  -,не буду поступать,2,  -,  -,2,7,  -,  -,я сам,нет других, -,2,4,5, -,4,МГУ, -,95,92,62,93,75,3,3,3,1,1,3,5,1,5,5,7,З.О.,З.О.,З.О.,2,2,18,2,1,-,-,4,4,-,-,-,3,2,английский,французский,-,3
29,занимательный, интересный, большой,Факультет политологии,5,5,  -,не буду поступать,1,брат,1,2,1,6,  -,мое желание,МГУ,филологический,1,2, -,атмосфера факультета,4,МГУ, -,48,95,62,82,84,3,2,2,2,2,3,5,1,4,5,7,З.О.,З.О.,З.О.,2,2,18,2,1,-,-,4,4,-,-,-,7,1,английский,-,-,7
30,сильный,качественный, интересный,Юридический факультет,8,5,  -,государсвенное управление,2,  -,  -,1,3,6,  -,свое мнение,ВШЭ,экономический,1,3,4, -,4,ФУ при Правительстве РФ, -,77,92,100,88,63,4,2,3,1,2,3,3,1,2,3,9,счетная палата,З.О.,"аудитор, член аппарата",2,2,18,1,1,-,-,2,4,-,-,-,4,1,английский,-,-,3
31,разнообразный, увлекательный, интересный,Филологический факультет,8,2; 5,  -, -,1,дядя,1,2,1,  -,  -, -,НИУ-ВШЭ,Мировая экономика,1,6, -, -,1, -, -,84,87,85,92,64,4,5,3,2,2,3,3,2,1,3,9,Газпромбанк,,Проектирование,1,2,18,2,,-,-,4,4,-,-,-,7,2,Английский,Французский,-,7
32,престижный, интересный, познавательный,Исторический факультет,7,2; 6,  -,Журфак,2,  -,  -,1,1,4,  -, -,РГГУ,МО,1, -, -, -,1, -, -,63,100,64,75,82,2,4,1,2,1,1,1,1,1,2,10,,Телевидение,,2,2,18,2,1,-,-,4,4,-,-,-,5,2,Английский,Немецкий,-,2
33,Престижный, высококвалифицированный, известный,Юридический факультет,8,2,  -,Гос управление,2,  -,  -,2,7,  -,  -,Самостоятельное решение,РАНЗ,ФЭСН,1,2,6, -,3,МГУ, -,68,90,75,77,64,4,2,3,3,2,3,4,1,4,3,5,,,,3,2,18,2,2,Жуковский,-,,-,Среднее,Высшее,-,4,2,Английский,Французский,-,3
34,Интересный, занимательный, желанный,Социологический факультет,7,3,  -,Филологический,2,  -,  -,2,4,  -,  -, -,МГИМО,МЭО,2, -, -, -,2, -, -,72,84,62,95,61,2,5,3,2,2,3,3,1,5,3,9,,,,2,3,17,2,2,Калуга,-,4,4,-,-,-,5,1,Английский,-,-,2
35,Пафосный, завышенный, бессмысленный,Юридический факультет,10,1,  -,Исторический,2,  -,  -,2,1,3,5, -,нет других, -,5, -, -, -,7, -, -,68,98,61,89,96,2,3,2,2,2,1,3,2,3,5,,,,,2,2,17,2,2,-,-,4,4,-,-,-,4,1,Французский,-,-,7
36,Интересный, престижный.,,Факультет государственного управления,3,7,  -,Журфак,2,  -,  -,2,7,  -,  -,Сам и решил,МГУ,Журфак,2,6,7,Атмосфера в ВУЗе (по душе или нет придется),4,МГУ , -,44,84,61,74,61,4,1,4, -,1,1,4,1,3,4,7,"Не знаю названия, потому что не знаю куда",профиль гуманитарный,"Понятия не имею. Писать хорошо, наверное",1,3,18,1,1,-,-,,-,Среднее,Высшее,-,4,1,Английский,-,-,3
37,красивый, важный, умный,Экономический факультет,10,2; 3; 6,  -,Журфак,2,  -,  -,1,7,  -,  -,Я сама себе способствовала,РГГУ,Журфак,2,5, -, -,1; 4; 5,МГУ, -,67,92,63,63,61,2,5,5,2,2,1,3,1,5,3,8,"Радиостанция ""Эхо Москвы""",главный редактор,,3,2,17,2,2,Электросталь,-,4,4,-,-,-,5,1,Английский,-,-,3
38,Мощный,славный, престижный,Факультет государственного управления,10,5,  -,Журфак,2,  -,  -,2,1,3,6, -,МГГУ,Журфак,1,2,3, -,4,МГУ, -,56,90,68,74,55,2,1,3,2,2,3,3,2,2,2,7,"Радиостанция ""Эхо Москвы""","редактор новостей или ведущий ""Русский репортер""",,3,2,16,2,1,-,-,4,4,-,-,-,7,2,Английский,Французский,-,7
39,интересный, захватывающий,хороший,Исторический факультет,7,5,  -,Социологический,2,  -,  -,1,1,2,5, -,нет других, -,1,2,5, -,1, -, -,60,90,93,73,71,3,2,3,2,1,1,2,1,3,2,5,,Социальная сфера,,3,3,17,1,2,Буденеловск,-,4,4,-,-,-,7,1,Английский,-,-,7
40,Престижный, популярный, интересный,Философский факультет,6,7,  -, -,1,"Друзья родителей, родители друзей",2,3,1,2,  -, -,нет других, -,1,6, -, -,1, -, -,66,100,44,89,65,4,2,3,2,2,2,2,1,3,3,8,,Не решила!,,1,2,17,2,1,-,-,2,2,-,-,-,5,2,Английский,Французский,-,3
41,Тяжелый, интересный, значительный,Экономический факультет,8,1,  -,"ВШБ,факультет стран Азии и Африки",2,  -,  -,3,1,2,  -, -,нет других, -,2,6, -, -,1.2, -, -,58,65,61,37,66,3,2,3,2,3,2,3,2,4,1,1, Газпром,,,3,2,17,1,1,-,-,4,4,-,-,-,5,2,английский,грузинский,-,3
42,московский,государственный,иностранный,Факультет иностранных языков и регионоведения,5,3,  -,не рассматривается,2,  -,  -,2,3,  -,  -, -,ВШЭ,Бизнес-информатика,1,2,3, -,1.5, -, -,79,98,65,95,65,3,2,3,3,2,2,3,2,3,3,8,,,,2,2,17,2,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
43,Желанный, вожделенный, неизведанный,Исторический факультет,6,6,  -,не рассматривается,2,  -,  -,2,3,  -,  -, -,РУДН,Связи с общественностью,2,3,5, -,5, -, -,74,90,91,90,91,4,1,3,2,2,2,3,1,2,3,1,,,,2,2,17,2,2,-,-,4,4,-,-,-,7,1,английский,-,-,7
44,,,,Высшая школа бизнеса (факультет),7,3,  -,ВШБ,1,Батал,4,1,1,2,6, -,МГИМО ,МИЭП,1,2, -, -,4,МГУ ФГУ, -,48,90,55,55,62,3,2,3,5,5,2,4,3,5,5,4,,,,1,3,17,2,2,Электросталь,-,4,1,-,-,-,6,2,английский,немецкий,-,2
45,хороший, красивый, интересный,Высшая школа государственного аудита (факультет),7,3,  -,ВШБ,2,  -,  -,2,3,  -,  -, -,нет других, -,1,2,3, -,7, -, -,56,79,70,38,58,2,3,1,1,1,1,1,1,1,1,9,,,,1,1,17,1,2,-,-,4,4,-,-,-,6,1,английский,-,-,3
46,хороший, интересный, прекрасный,Юридический факультет,4,3,  -,Философский,2,  -,  -,4,6,  -,  -, -,ГУУ,Менеджемент,5,6, -, -,1, -, -,40,65,61,83,72,1,1,1,1,1,1,1,1,1,1,7,,,,2,2,17,2,1,-,-,7,7,-,-,-,5,1,английский,-,-,3
47,успешный, нужный, престижный,Исторический факультет,9,3,  -,не рассматривается,2,  -,  -,2,1,  -,  -, -,РГГУ,Исторический,1,2, -, -,1.5, -, -,68,90,90,74,85,2,3,2,2,1,2,2,1,1,3,5,,,,3,3,17,2,2,-,-,4,4,-,-,-,6,1,английский,-,-,3
48,Увлекательный, интересный, шедевральный.,Экономический факультет,8,3,  -,Философский,2,  -,  -,2,6,  -,  -, -,РГГУ,Философский,1,5,6, -,"                                                                        3,4,5",ВШЭ, -,63,93,81,56,75,2,1,4,2,2,2,3,1,2,2,8,Государственная Дума,Депутат,Издавать законы,2,2,17,2,1,-,-,3,4,-,-,-,6,2,английский,французский,-,2
49,престижный,,,Факультет государственного управления,6,3,  -,Исторический,2,  -,  -,2,1,3,4, -,МГИМО ,МБДА,1,5, -, -,2, -, -,52,70,78,99,65,3,2,3,2,1,2,1,1,1,2,6,,,,2,3,17,1,1,-,-,4,1,-,-,-,5,1,английский,-,-,3
50,серьезный, сложный, тяжелый,Юридический факультет,8,1.2,  -,"ФГУ,экономиечский",2,  -,  -,2,6,  -,  -, -,нет других, -,2, -, -, -,1, -, -,95,63,72,55,66,5,2,3,5,5,2,5,1,2,5,10,Вимм-Билль-Данн,,,2,3,18,1,1,-,-,4,4,-,-,-,7,4,-,-,-,1
51,Интересный, познавательный, известный,Юридический факультет,7,5,  -,Политологический,1,друг,2,1,1,  -,  -, -,нет других, -,1, -, -, -,1, -, -,68,71,69,78,65,4,5,4,4,5,5,4,5,4,5,7,,Политология,Выборы,3,2,17,2,1,-,-,6,6,-,-,-,5,1,Английский,-,-,2
52,Теоретический, фундаментальный, архитектурный,Юридический факультет,7,5,  -,"Философский, политологический",1,Брат,1,2,2,  -,  -, -,МГГУ им.Шолохова, -,1, -, -, -,1, -, -,66,75,85,78,75,4,4,4,2,3,3,3,2,5,2,9,Правительство РФ,Политилогия,Выборные технологии,3,2,18,1,2,-,-,4,4,-,-,-,4,1,Немецкий,-,-,3
53,необходимый, серьезный, главный,Юридический факультет,10,5,  -, -,2,  -,  -,1,2,3,4, -,нет других, -,1,3, -, -,5, -, -,85,88,91,65,91,3,4,4,1,1,3,2,1,3,2,10,,,Адвокатура,1,,18,1,1,-,-,4,4,-,-,-,5,1,Английский,-,-,2
54,интересный, перспективный, красивый,Экономический факультет,10,4,  -,ФИЯР,2,  -,  -,1,1,4,  -, -,нет других, -,1,2, -, -,3, -, -,68,85,75,80,81,1,2,2,1,1,2,1,1,3,3,9,Филологический факультет,Иностранные языки,Переводчик,3,2,18,2,1,-,-,4,4,-,-,-,4,1,Английский,-,-,3
55,долгий, скучный, унылый,Исторический факультет,9,5,  -,"Мировая политика, философский",2,  -,  -,1,5,  -,  -, -,нет других, -,3, -, -, -,3, -, -,72,75,79,66,82,4,2,3,2,5,1,5,2,1,3,7,,Юридическое,,3,2,18,1,1,-,-,4,4,-,-,-,5,1,Английский,-,-,3
56,престижный, интересный,,Экономический факультет,5,5,  -,ФИЯР,2,  -,  -,2,4,  -,  -, -,нет других, -,3, -, -, -,3, -, -,56,71,68,75,60,4,5,4,2,5,2,5,1,1,5,7,,Иностранные языки,Переводы,3,2,17,2,1,-,-,4,4,-,-,-,5,2,Английский,Французский,-,2
57,,,,Философский факультет,7,3,  -, -,2,  -,  -,2,7,  -,  -,Я сам,ГУУ,Менеджмент,2,3,4, -,1, -, -,48,65,61,55,65,3,3,3,3,3,2,3,1,1,3,1,,Социальные исследования,,2,2,17,1,1,-,-,4,4,-,-,-,7,1,Английский,-,-,2
58,стильный,отличный,большой,Экономический факультет,4,1,  -,Регионоведения,1,Сестра,1,1,1,6,  -, -,нет других, -,1, -, -, -,1, -, -,56,78,55,75,71,2,4,2,5,2,3,1,2,2,1,,,Регионоведение,Переводчик,3,3,17,2,2,-,-,4,3,-,-,-,7,1,Английский,-,-,2
59,престижный, рентабельный, качественный,Юридический факультет,6,5,  -,"Философский, политологический",2,  -,  -,2,1,2,4, -,нет других, -,1,2, -, -,1, -, -,70,75,92,86,94,4,4,4,1,2,2,1,1,4,2,,Юриспруденция,Адвокат,,2,2,18,1,1,-,-,4,4,-,-,-,4,1,Немецкий,-,-,3
60,,,,Юридический факультет,10,2,  -, -,2,  -,  -,2,1,  -,  -, -,нет других, -,1, -, -, -,1, -, -,95,97,97,55,65,2,4,1,1,1,3,2,1,1,3,5,,,,2,2,17,2,1,-,-,4,4,-,-,-,6,1,Английский,-,-,3
61,перспективный, популярный, хороший,Юридический факультет,8,3,  -,Экономический факультет,2,  -,4,2,7,  -,  -,ЭМШ,МГУ,Экономический,2,6, -, -,1, -, -,88,72,95,42,55,4,1,4,2,6,1,3,1,2,2,7,,HR менеджмент,,1,3,18,2,1,-,-,4,4,-,-,-,4,1,Английский,Французский,-,4
62,прекрасное, умное, бесплатное,Физический факультет,8,7,  -,Экономический факультет,2,  -,  -,4,1,  -,  -, -,НИУ ВШЭ,Менеджмент,4, -, -, -,5, -, -,70,98,88,85,42,1,2,2,1,1,1,3,1,1,2,5,Лукойл,,,2,2,17,2,1,-,-,3,4,-,-,-,3,2,Английский,Немецкий,-,3
63,Интересный, увлекательный, познавательный,Философский факультет,8,5,  -,Социологический факультет,2,  -,4,2,1,5,6, -,МГУ,Социологический,1,4,6, -,7, -, -,70,92,88,85,65,4,1,3,3,2,1,4,2,1,1,8,,Реклама ,Криэйтор,2,2,16,2,1,-,-,4,4,-,-,-,3,1,Английский,-,-,3
64,жизнерадостный, хороший, строгий,Юридический факультет,10,2,  -, -,1,Сестра,2,4,2,  -,  -, -,нет других, -,1,2,3, -,1, -, -,81,98,71,82,100,3,2,2,4,5,3,3,3,3,3,6,PR,,,2,2,19,2,1,-,-,4,4,-,-,-,3,1,Английский,-,-,3
65,Интересный, увлекательный, познавательный,Факультет политологии,5,3,  -,Факультет государственного управления,1,друг,3,5,5,  -,  -, -,МГУ,Политологический,1,2,5, -,1, -, -,67,60,78,100,98,4,1,4,3,3,5,1,1,2,5,10,"Государственная дума, правительство рф",Политика,Управление,2,2,18,1,1,-,-,6,4,-,-,-,2,1,Английский,-,-,2
66,интеллектуальный, престижный, людный,Юридический факультет,5,7,  -,ВШБ,2,  -,4,1,7,  -,  -, -,МГУ, -,2,3,5, -,1, -, -,63,95,71,87,55,3,1,2,1,2,4,2,3,2,2,7,Газпром,Управление,,1,2,17,2,1,-,-,4,4,-,-,-,2,3,Английский,Французский,Испанский,2
67,Творческий, интересный,,Факультет государственного управления,8,3,  -,Исторический,2,  -,4,2,4,  -,  -, -,ОГУ,Исторический,3, -, -, -,1, -, -,79,78,89,65,94,1,2,2,5,2,2,2,1,1,3,7,Муниципальные законодательные органы,Государственное управление,Государственное управление,2,2,17,1,2,Оренбург,-,4,4,-,-,-,3,1,Английский,-,-,3
68,своеобразный, веселый, деловой,Философский факультет,10,6,  -,Менеджмент,2,  -,4,1,2,  -,  -, -,МИСИС,Бухгалтерский учёт и аудит,1,2,3, -,7, -, -,81,82,82,55,65,2,3,2,2,3,2,3,2,2,2,8,JPMorgan,Рынок ценных бумаг,,2,2,17,1,2,-,-,4,4,-,-,-,3,2,Английский,Французский,-,3
69,мерзкий,,,Юридический факультет,4,7,  -,Психологический,2,  -,4,2,1,  -,  -,ЭМШ,ВШЭ,Экономический,2,5, -, -,4,МГУ, -,79,98,93,87,55,3,2,3,1,2,1,2,1,3,3,6,KPMG,Старший аудитор,,2,3,18,2,1,-,-,4,4,-,-,-,3,1,Английский,-,-,3
70,Успешный, интересный, практичный,Экономический факультет,7,2,тетя, -,2,  -,4,1,7,  -,  -,Собственные размышления и вывод об отличном качестве образования на факультете,НИУ ВШЭ,Экономический,1,5, -, -,5, -, -,77,98,72,93,65,4,2,3,2,2,2,5,1,3,5,5,,,,2,2,17,2,1,-,-,4,4,-,-,-,3,1,Английский,-,-,3
71,красивый, интересный, перспективный,Юридический факультет,6,5,  -,философский,2,  -,  -,2,1,3,4, -,МГУП,РиСО,1,2,5, -,1, -, -,44,73,70,55,59,3,2,4,2,2,3,2,1,3,3,3,PR компания,творческая деятельность,получать деньги,2,3,17,1,2,Бронница,-,2,4,-,-,-,3,1,английский,-,-,3
72,Сложный, нужный,,Юридический факультет,5,3,  -,не буду подавать,2,  -,  -,2,1,4,6, -,ГУУ,гос и муниципальное управление,2,3,5, -,1, -, -,72,98,70,79,79,3,2,3,2,2,2,2,1,3,3,5,З.О.,З.О.,З.О.,2,2,17,2,2,Мурманская облать,-,4,4,-,-,-,4,1,английский,-,-,3
73,Интересный, Перспективный, Престижный,Факультет государственного управления,7,1,  -,философский,2,  -,  -,2,2,3,4, -,МГХПА им Строгонова,средовой дизайн,2,4,5, -,1, -, -,60,86,55,55,66,3,2,3,3,2,2,3,2,2,5,7,ГТГ,научная работа,писать научные работы,1,1,19,2,1,-,-,6,6,-,-,-,6,2,английский,французский,-,2
74,Большой Красивый желанный,,,Факультет политологии,10,2,  -,ВШБ,2,  -,  -,2,1,3,4, -,ПЛЕШКА,менеджемент,2,4,5, -,1, -, -,79,79,57,79,66,4,1,4,3,2,1,4,1,1,2,7,"ГАЗПРОМ, GOOGLE",З.О.,З.О.,1,3,17,1,1,-,-,4,4,-,-,-,5,2,английский,испанский,-,2
